iter	Passed	Remaining
1125	13023	10108
1126	13031	10094
1127	13044	10083
1128	13059	10075
1129	13073	10065
1130	13091	10058
1131	13112	10054
1132	13127	10045
1133	13153	10044
1134	13181	10045
1135	13230	10062
1136	13317	10108
1137	13328	10096
1138	13339	10083
1139	13352	10073
1140	13367	10063
1141	13380	10052
1142	13395	10043
1143	13416	10039
1144	13435	10032
1145	13450	10023
1146	13470	10017
1147	13489	10011
1148	13503	10001
1149	13519	9992
1150	13537	9985
1151	13548	9973
1152	13561	9962
1153	13576	9953
1154	13592	9944
1155	13607	9935
1156	13622	9925
1157	13635	9914
1158	13649	9904
1159	13663	9893
1160	13676	9883
1161	13689	9872
1162	13700	9860
1163	13711	9847
1164	13721	9834
1165	13730	9821
1166	13739	9806
1167	13748	9793
1168	13758	9780
1169	13768	9767
1170	13778	9754
1171	13787	9740
1172	13796	9726
1173	13806	9713
1174	13819	9702
1175	13827	9688
1176	13836	9674
1177	13845	9661
1178	13858	9650
1179	13872	9640
1180	13888	9631
1181	13900	9619
1182	13909	9606
1183	13926	9597
1184	13934	9583
1185	13948	9573
1186	13960	9561
1187	13970	9548
1188	13981	9536
1189	13994	9525
1190	14009	9515
1191	14024	9506
1192	14039	9496
1193	14052	9486
1194	14071	9479
1195	14088	9470
1196	14101	9459
1197	14119	9452
1198	14134	9442
1199	14146	9431
1200	14160	9420
1201	14174	9410
1202	14187	9399
1203	14201	9389
1204	14217	9379
1205	14229	9368
1206	14245	9359
1207	14261	9350
1208	14275	9339
1209	14288	9328
1210	14302	9318
1211	14313	9306
1212	14327	9295
1213	14349	9290
1214	14465	9345
1215	14519	9361
1216	14537	9353
1217	14551	9342
1218	14563	9330
1219	14576	9319
1220	14589	9308
1221	14604	9298
1222	14620	9288
1223	14633	9277
1224	14645	9265
1225	14664	9257
1226	14680	9248
1227	14694	9238
1228	14708	9227
1229	14723	9216
1230	14734	9204
1231	14747	9193
1232	14757	9180
1233	14768	9167
1234	14782	9156
1235	14796	9146
1236	14811	9135
1237	14823	9123
1238	14834	9111
1239	14844	9097
1240	14855	9085
1241	14864	9071
1242	14877	9060
1243	14885	9046
1244	14898	9034
1245	14908	9021
1246	14926	9013
1247	14938	9001
1248	14952	8990
1249	14962	8977
1250	14974	8965
1251	14986	8953
1252	14996	8940
1253	15004	8926
1254	15013	8912
1255	15023	8899
1256	15031	8885
1257	15040	8871
1258	15050	8857
1259	15058	8844
1260	15067	8830
1261	15078	8817
1262	15088	8804
1263	15096	8790
1264	15105	8776
1265	15114	8763
1266	15124	8749
1267	15132	8735
1268	15141	8722
1269	15150	8708
1270	15159	8694
1271	15168	8681
1272	15178	8668
1273	15187	8654
1274	15196	8641
1275	15205	8627
1276	15213	8613
1277	15221	8599
1278	15230	8585
1279	15240	8572
1280	15248	8558
1281	15256	8544
1282	15266	8531
1283	15275	8518
1284	15289	8507
1285	15298	8493
1286	15309	8481
1287	15317	8467
1288	15327	8454
1289	15337	8441
1290	15346	8428
1291	15354	8414
1292	15363	8400
1293	15371	8386
1294	15434	8402
1295	15462	8399
1296	15488	8394
1297	15500	8383
1298	15512	8371
1299	15521	8357
1300	15533	8345
1301	15544	8333
1302	15562	8324
1303	15591	8322
1304	15619	8318
1305	15646	8314
1306	15675	8311
1307	15691	8301
1308	15708	8292
1309	15720	8280
1310	15732	8268
1311	15743	8255
1312	15751	8241
1313	15760	8228
1314	15770	8214
1315	15780	8201
1316	15791	8189
1317	15801	8176
1318	15812	8164
1319	15822	8150
1320	15833	8138
1321	15843	8125
1322	15853	8112
1323	15862	8098
1324	15872	8085
1325	15880	8072
1326	15889	8058
1327	15904	8047
1328	15916	8036
1329	15925	8022
1330	15934	8009
1331	15944	7996
1332	15954	7983
1333	15962	7969
1334	15971	7955
1335	15983	7944
1336	15993	7930
1337	16003	7918
1338	16012	7904
1339	16021	7891
1340	16030	7877
1341	16039	7864
1342	16047	7850
1343	16056	7837
1344	16065	7823
1345	16073	7809
1346	16083	7796
1347	16097	7786
1348	16108	7773
1349	16117	7760
1350	16125	7746
1351	16134	7733
1352	16142	7719
1353	16153	7706
1354	16162	7693
1355	16171	7680
1356	16179	7666
1357	16188	7653
1358	16197	7639
1359	16208	7627
1360	16217	7614
1361	16227	7601
1362	16235	7587
1363	16245	7575
1364	16254	7561
1365	16263	7548
1366	16272	7535
1367	16282	7522
1368	16291	7508
1369	16300	7495
1370	16307	7481
1371	16318	7469
1372	16329	7457
1373	16337	7443
1374	16346	7430
1375	16355	7416
1376	16363	7403
1377	16372	7390
1378	16382	7377
1379	16389	7363
1380	16399	7350
1381	16409	7338
1382	16417	7324
1383	16426	7311
1384	16435	7297
1385	16444	7285
1386	16453	7271
1387	16462	7258
1388	16470	7245
1389	16480	7232
1390	16491	7220
1391	16501	7207
1392	16512	7195
1393	16520	7181
1394	16528	7168
1395	16539	7155
1396	16547	7142
1397	16556	7129
1398	16566	7117
1399	16575	7103
1400	16585	7091
1401	16593	7077
1402	16602	7064
1403	16613	7052
1404	16621	7039
1405	16630	7025
1406	16640	7013
1407	16652	7001
1408	16661	6988
1409	16673	6977
1410	16691	6967
1411	16713	6959
1412	16733	6951
1413	16753	6943
1414	16767	6932
1415	16788	6923
1416	16807	6914
1417	16821	6904
1418	16833	6892
1419	16842	6879
1420	16851	6866
1421	16862	6854
1422	16873	6841
1423	16884	6829
1424	16894	6817
1425	16904	6804
1426	16916	6792
1427	16924	6779
1428	16934	6766
1429	16943	6753
1430	16952	6740
1431	16961	6727
1432	16970	6714
1433	16978	6701
1434	16989	6689
1435	16998	6676
1436	17018	6667
1437	17032	6656
1438	17042	6644
1439	17050	6630
1440	17058	6617
1441	17066	6604
1442	17076	6591
1443	17084	6578
1444	17092	6565
1445	17102	6552
1446	17110	6539
1447	17120	6526
1448	17128	6513
1449	17138	6500
1450	17147	6487
1451	17155	6474
1452	17164	6461
1453	17173	6448
1454	17181	6435
1455	17192	6423
1456	17200	6410
1457	17208	6397
1458	17218	6384
1459	17226	6371
1460	17235	6358
1461	17244	6345
1462	17253	6332
1463	17265	6321
1464	17274	6308
1465	17285	6296
1466	17294	6283
1467	17303	6270
1468	17311	6257
1469	17324	6246
1470	17334	6233
1471	17341	6220
1472	17349	6207
1473	17359	6194
1474	17368	6182
1475	17376	6168
1476	17385	6156
1477	17395	6143
1478	17403	6130
1479	17413	6118
1480	17423	6106
1481	17431	6092
1482	17439	6079
1483	17449	6067
1484	17457	6054
1485	17465	6041
1486	17473	6028
1487	17484	6016
1488	17493	6003
1489	17503	5990
1490	17512	5978
1491	17521	5965
1492	17530	5953
1493	17539	5940
1494	17548	5927
1495	17558	5915
1496	17566	5902
1497	17576	5889
1498	17585	5877
1499	17594	5864
1500	17603	5852
1501	17613	5839
1502	17624	5827
1503	17634	5815
1504	17642	5802
1505	17653	5790
1506	17665	5778
1507	17674	5766
1508	17684	5754
1509	17693	5741
1510	17701	5728
1511	17709	5715
1512	17718	5703
1513	17727	5690
1514	17736	5678
1515	17745	5665
1516	17754	5652
1517	17763	5640
1518	17772	5627
1519	17780	5615
1520	17790	5602
1521	17802	5591
1522	17829	5584
1523	17860	5578
1524	17883	5570
1525	17906	5561
1526	17923	5551
1527	17939	5541
1528	17949	5529
1529	17959	5516
1530	17969	5504
1531	17979	5492
1532	17988	5479
1533	17996	5467
1534	18005	5454
1535	18014	5441
1536	18022	5429
1537	18031	5416
1538	18041	5404
1539	18054	5393
1540	18064	5380
1541	18073	5368
1542	18083	5356
1543	18091	5343
1544	18100	5330
1545	18109	5318
1546	18118	5305
1547	18128	5293
1548	18138	5281
1549	18146	5268
1550	18154	5255
1551	18163	5242
1552	18172	5230
1553	18181	5218
1554	18190	5205
1555	18199	5193
1556	18209	5180
1557	18217	5168
1558	18226	5155
1559	18237	5143
1560	18246	5131
1561	18254	5118
1562	18263	5106
1563	18273	5094
1564	18281	5081
1565	18291	5069
1566	18300	5056
1567	18308	5044
1568	18316	5031
1569	18325	5018
1570	18334	5006
1571	18341	4993
1572	18349	4981
1573	18358	4968
1574	18368	4956
1575	18376	4943
1576	18384	4931
1577	18393	4918
1578	18403	4906
1579	18411	4894
1580	18420	4881
1581	18430	4869
1582	18443	4858
1583	18453	4846
1584	18461	4833
1585	18471	4821
1586	18479	4809
1587	18489	4796
1588	18498	4784
1589	18507	4772
1590	18516	4759
1591	18526	4748
1592	18535	4735
1593	18545	4723
1594	18554	4711
1595	18563	4699
1596	18574	4687
1597	18582	4674
1598	18592	4662
1599	18602	4650
1600	18611	4638
1601	18620	4625
1602	18630	4614
1603	18640	4602
1604	18649	4589
1605	18658	4577
1606	18667	4565
1607	18675	4552
1608	18684	4540
1609	18692	4528
1610	18702	4516
1611	18711	4503
1612	18719	4491
1613	18729	4479
1614	18738	4466
1615	18746	4454
1616	18756	4442
1617	18764	4430
1618	18771	4417
1619	18781	4405
1620	18790	4393
1621	18798	4381
1622	18807	4368
1623	18818	4357
1624	18832	4346
1625	18845	4334
1626	18854	4322
1627	18869	4311
1628	18878	4299
1629	18886	4287
1630	18895	4274
1631	18904	4262
1632	18913	4250
1633	18922	4238
1634	18932	4226
1635	18950	4216
1636	18971	4206
1637	18992	4197
1638	19018	4188
1639	19046	4180
1640	19064	4170
1641	19075	4158
1642	19087	4147
1643	19098	4135
1644	19108	4123
1645	19117	4111
1646	19127	4099
1647	19136	4087
1648	19147	4075
1649	19156	4063
1650	19167	4051
1651	19176	4039
1652	19186	4027
1653	19196	4015
1654	19210	4004
1655	19228	3994
1656	19237	3982
1657	19250	3970
1658	19262	3959
1659	19271	3947
1660	19283	3935
1661	19293	3923
1662	19302	3911
1663	19312	3899
1664	19322	3887
1665	19331	3875
1666	19342	3863
1667	19352	3851
1668	19361	3839
1669	19372	3828
